,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,104.80,106.68,107.76,110.23,112.48,116.55,125.68,133.86,138.79,156.18
"Fiji, Rep. of",96.20,99.98,101.48,105.08,108.07,109.83,110.02,111.15,111.40,108.95
"Micronesia, Federated States of",,,,,97.19,92.81,93.27,93.73,94.26,94.55
New Caledonia,106.91,108.21,111.63,115.20,,,,,,
New Zealand,93.08,94.82,96.61,98.55,100.72,104.58,108.38,112.13,117.23,125.03
Papua New Guinea,109.33,115.98,121.88,127.40,129.60,138.12,147.80,161.11,163.33,
Samoa,85.57,92.17,98.69,99.34,98.28,98.98,103.30,109.39,111.21,126.23
Solomon Islands,,,,,,,103.40,103.40,103.40,104.47
Tonga,,,,,,100.33,108.20,108.20,109.50,118.60
