,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,,,,,121.13,158.02,221.87,296.41,419.00,696.72
"Aruba, Kingdom of the Netherlands",92.38,92.38,92.76,94.40,106.48,109.04,109.30,,,
Bolivia,85.34,90.25,94.19,98.63,103.44,108.34,112.33,115.38,122.98,127.96
Brazil,"4,388.51","4,760.12","5,173.80","5,648.46","6,082.93","6,409.69",,,,
Chile,78.84,83.45,87.89,92.23,96.34,100.24,104.73,108.67,111.73,118.75
Colombia,73.75,77.09,80.94,86.07,92.77,99.24,104.61,106.86,101.89,105.94
Ecuador,92.12,97.51,102.16,104.53,108.63,111.60,114.46,113.09,111.63,116.02
Paraguay,78.89,84.32,89.54,94.33,99.52,104.85,110.43,115.09,116.22,121.04
Trinidad and Tobago,87.68,94.34,101.88,102.51,102.50,102.50,102.50,102.50,102.50,
