,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,,,,,111.68,148.24,234.76,345.01,516.98,902.81
"Aruba, Kingdom of the Netherlands",112.25,114.67,117.16,116.91,124.93,139.23,157.08,,,
Bolivia,80.22,86.74,90.74,95.74,98.94,101.46,104.88,104.19,104.82,107.16
Chile,79.81,85.38,91.45,94.95,96.86,99.81,102.38,109.28,115.18,135.60
Colombia,77.65,79.96,86.86,98.25,98.92,99.74,104.61,110.42,121.16,151.40
Ecuador,95.61,99.93,104.14,106.78,107.31,105.56,105.61,106.41,105.50,111.05
Paraguay,78.05,83.10,85.53,90.52,95.75,99.48,100.63,101.85,111.24,127.88
Suriname,61.37,63.97,69.74,106.15,137.33,,157.88,226.21,364.80,553.13
Trinidad and Tobago,85.60,94.19,102.25,109.89,113.10,114.37,115.02,118.24,123.44,
